D10,PREFIX,ALT PREFIX,SUFFIX,ALT SUFFIX,ADJECTIVE,BUSINESS
01,VIVO-,HECHA-,-SOPHIA,-ACEOUS,PROMETHEAN,ENTERPRISE
02,BIO-,ADIP-,-DERM,-FLECT,GENERATIVE,CONVERGENCE
03,ANTHROPO-,TACHY-,-IASIS,-Z0A,INNOVATIVE,MINDSHARE
04,ASTER-,GNATH-,-CYTE,-STOME,AGONAL,INSTITUTE
05,TOXICO-,SOMATA-,-VERGE,-1AE,STREAMLINED,DevOp
06,HYPER-,PHILO-,-URA,-SPIRE,HOLISTIC,CONSORTIUM
07,NEMAT-,THERMA-,-PHYLL,-DUCT,ARTISAN,MANUFACTORY
08,20-,MALAC-,-STASIS,-EMIA,ENGAGED,INCUBATOR
09,ZYH-,XYL-,-METRY,-PHONE,SKEUOMORPHIC,NURSERY
10,ODONT-,PHEUMO-,-ATE,-LYST,ADVANCED,CATALYST

